"time","caRNA","sti","geno","gene"
6.83333333333333,0.148907358187247,"tnf","wt","Rel"
6.91666666666667,0.148907358187247,"tnf","wt","Rel"
7,0.148907358187247,"tnf","wt","Rel"
7.08333333333333,0.148907358187247,"tnf","wt","Rel"
7.16666666666667,0.148907358187247,"tnf","wt","Rel"
7.25,0.148907358187247,"tnf","wt","Rel"
7.33333333333333,0.148907358187247,"tnf","wt","Rel"
7.41666666666667,0.148907358187247,"tnf","wt","Rel"
7.5,0.148907358187247,"tnf","wt","Rel"
7.58333333333333,0.148907358187247,"tnf","wt","Rel"
7.66666666666667,0.148907358187247,"tnf","wt","Rel"
7.75,0.148907358187247,"tnf","wt","Rel"
7.83333333333333,0.148907358187247,"tnf","wt","Rel"
7.91666666666667,0.148907358187247,"tnf","wt","Rel"
8,0.148907358187247,"tnf","wt","Rel"
0,0.147203111053823,"lps","mt","Rel"
0.0833333333333333,0.148051765121317,"lps","mt","Rel"
0.166666666666667,0.15135588059945,"lps","mt","Rel"
0.25,0.158722647374063,"lps","mt","Rel"
0.333333333333333,0.17162897130381,"lps","mt","Rel"
0.416666666666667,0.191303796498721,"lps","mt","Rel"
0.5,0.218614513598337,"lps","mt","Rel"
0.583333333333333,0.31519766919027,"lps","mt","Rel"
0.666666666666667,0.451625531762228,"lps","mt","Rel"
0.75,0.60623149699707,"lps","mt","Rel"
0.833333333333333,0.757197258769789,"lps","mt","Rel"
0.916666666666667,0.890225644681789,"lps","mt","Rel"
1,1,"lps","mt","Rel"
1.08333333333333,0.975510028139213,"lps","mt","Rel"
1.16666666666667,0.945210663594151,"lps","mt","Rel"
1.25,0.913005557199259,"lps","mt","Rel"
1.33333333333333,0.878886570583995,"lps","mt","Rel"
1.41666666666667,0.842878889439659,"lps","mt","Rel"
1.5,0.805052731096461,"lps","mt","Rel"
1.58333333333333,0.775379421173611,"lps","mt","Rel"
1.66666666666667,0.74513312946644,"lps","mt","Rel"
1.75,0.714088057044382,"lps","mt","Rel"
1.83333333333333,0.68234983163824,"lps","mt","Rel"
1.91666666666667,0.650044470655844,"lps","mt","Rel"
2,0.61732090262767,"lps","mt","Rel"
2.08333333333333,0.612013213386955,"lps","mt","Rel"
2.16666666666667,0.607595706235425,"lps","mt","Rel"
2.25,0.603174549447703,"lps","mt","Rel"
2.33333333333333,0.59875018752974,"lps","mt","Rel"
2.41666666666667,0.594323065006992,"lps","mt","Rel"
2.5,0.589893637436561,"lps","mt","Rel"
2.58333333333333,0.585462361036849,"lps","mt","Rel"
2.66666666666667,0.581029700685055,"lps","mt","Rel"
2.75,0.576596125530089,"lps","mt","Rel"
2.83333333333333,0.57216211014155,"lps","mt","Rel"
2.91666666666667,0.567728134236756,"lps","mt","Rel"
3,0.563294682544511,"lps","mt","Rel"
3.08333333333333,0.558862244671026,"lps","mt","Rel"
3.16666666666667,0.554431314960391,"lps","mt","Rel"
