"","LPS0","LPS30","LPS1","LPS3","TNF0","TNF30","TNF1","TNF3"
"Pdgfb",1.78814950262346,1.64179136685151,1.86874524893091,1.72093803634036,1.78814950262346,1.60734757475614,1.87716908887778,1.60134861410193
"Pilra",1.94450476896057,NA,NA,NA,1.94450476896057,2.97562439503982,2.47273140630445,2.66902671494881
"Pim1",1.72660280532493,1.67695791397483,1.7494437541831,1.63734487976464,1.72660280532493,1.52112107582001,1.78579895270614,1.54493635686284
"Plekhh1",1.65706787189844,NA,2.34717412472506,1.86183198016603,1.65706787189844,NA,2.21043130378109,1.48219077827658
"Ppp1r15a",1.72018936554859,1.72162103588526,1.68170341366528,1.59270618506055,1.72018936554859,1.46288629480291,1.67432525850924,1.5134769861047
"Prokr2",2.04818650630224,NA,1.98189453640862,2.2658071903081,2.04818650630224,NA,2.28307728268567,NA
"Ptger2",NA,NA,1.61511403442642,1.67185583207335,NA,NA,1.92227412255122,1.82615258592417
"Ptges",2.33503150214449,2.03861249730857,2.34810228790014,2.34954404749673,2.33503150214449,2.01546942204133,2.20558514178085,NA
"Rab11fip1",1.7559968283009,1.79220700281151,1.8997251042571,1.73518917506555,1.7559968283009,1.9491539735951,1.9288429848196,1.79178374342787
"Rab15",2.68165171804464,2.02069265840405,2.2365654868757,2.45430644983059,2.68165171804464,2.61302951727274,2.61825650461305,NA
"Rab20",1.65126154013411,1.70904651928591,1.75150622225076,1.63470667430231,1.65126154013411,1.61119246039377,1.68839889508292,1.64734996620435
"Rasgef1a",1.84117723865001,NA,2.09359000978203,1.92282789833783,1.84117723865001,NA,NA,1.80739475083138
"Rasl12",1.45766044219321,1.88730709809462,NA,2.23895359959671,1.45766044219321,1.57083673601583,2.23286670271676,2.26603074976203
"Rbfox1",2.1333383318063,NA,1.92197628942488,2.46400338287351,2.1333383318063,2.81748431219942,2.0236210790326,2.10829195080228
"Rel",1.65981465992937,1.84449005795059,1.88054315402041,1.60899610428677,1.65981465992937,2.03633406751173,1.63258500145464,1.51291574963191
"Relb",1.94739517997635,2.04660793804146,2.03503303005116,1.98739025771087,1.94739517997635,2.13857823175913,2.0282754362506,2.0809704532731
"Rffl",1.97745492317823,1.8973897926134,1.89483789106277,1.89478997991228,1.97745492317823,1.76375003849079,2.18862337774535,1.89304849893969
"Rgs1",1.13395189960973,1.14376249537402,1.09575548611988,1.29173781904693,1.13395189960973,1.16371192773909,NA,NA
"Rhof",1.87453463366586,1.93683824006544,1.69640206535264,1.83867307406739,1.87453463366586,1.99053629788378,2.10890052365795,2.20378365878681
"Ripk2",2.0338199917729,2.05439276617268,2.11705563414878,2.27583017507871,2.0338199917729,2.0926362319703,2.12213948336542,2.06453018338781
"Rnd1",1.81567343274473,1.817722190784,2.00092001831017,1.95578853867172,1.81567343274473,1.7510632189099,2.01816634226781,1.89093251107329
"Rrad",1.85717457160058,1.8683283634313,1.89783711468947,1.70734604523386,1.85717457160058,1.63255265772492,2.34945947372792,1.6967227441921
"Rsad2",2.3852147550794,NA,NA,2.23568729594041,2.3852147550794,NA,NA,2.26405843971153
"Sdc4",2.69956232327729,2.5802616579277,2.63227027487379,2.3260922418045,2.69956232327729,2.25360810120312,2.59958542094115,2.54420456362971
"Sik1",1.42683232297089,1.72127251032443,1.58416313226829,1.50339932176148,1.42683232297089,1.5658495235567,1.56141904856899,1.46443384177559
"Slc25a25",1.54827868461276,1.90159392523264,1.69710214392272,1.66814195613589,1.54827868461276,1.61671823093685,1.60949694393364,1.47451916338318
"Slc39a4",NA,NA,NA,1.8801399865188,NA,2.31135705821141,2.33673905124161,2.78663672981344
"Slc6a12",2.34659262070398,NA,NA,2.3708427372709,2.34659262070398,NA,1.86592925764398,NA
"Slc7a2",2.36529269300189,1.98004291662983,2.30357055878215,2.82382202216097,2.36529269300189,1.88186234273867,NA,2.45591454176196
"Slco2a1",2.4880673531358,2.25185800133062,2.20452378934336,2.51779329192686,2.4880673531358,2.07261687769217,2.41415165260705,2.76449998280442
"Slco3a1",2.25304384418843,2.13316463864573,2.12795751514904,2.85745057170298,2.25304384418843,1.98177367664934,2.29704890966746,2.56107148020962
"Slco5a1",NA,NA,2.53235717416137,1.95096082002142,NA,NA,2.47388427750957,2.40530934491386
"Slfn2",1.80971364545276,1.86184214542877,1.99229797887463,1.68990789001059,1.80971364545276,1.68546689094424,1.73065739940052,1.61934681994089
"Sod2",NA,2.59872530893465,2.65538513139513,2.43321735971618,NA,2.32646293631668,2.57521936667522,NA
"St3gal1",2.09332081904064,2.01883186028629,2.22346741659299,2.08858394537009,2.09332081904064,1.79931870619536,2.20627156415262,2.1249508478169
"Steap4",2.56064395502269,2.25439891878816,2.08037518347073,NA,2.56064395502269,2.02105371573585,2.20078153328309,2.66311290061986
"Stk17b",1.64154568307559,1.51716721856864,1.59242454248262,1.58221478121724,1.64154568307559,1.45026426666906,1.69554956103185,1.86324889716113
"Stx11",2.11544170439321,1.95717299514424,1.96975706657298,1.93448221979384,2.11544170439321,1.9538456335251,2.00750422411507,1.93473081373959
"Timp1",2.83259566988894,2.26979569192769,2.31484402480882,NA,2.83259566988894,2.15680371267766,2.40539608567775,3.15836249209525
"Tjp2",1.98689577966177,1.87099561039926,2.00643274876706,1.8754146870565,1.98689577966177,1.84349702315506,1.997589197197,1.88876533121734
"Tmem132e",2.09382857026977,2.11980741985867,1.79558876505025,NA,2.09382857026977,2.29865991603033,2.14149508482455,NA
"Tmem158",2.16542973561479,2.37664042156301,1.74802589197128,2.47068214369313,2.16542973561479,2.04604436037669,2.35554115023885,NA
"Tnfaip2",2.14327268325796,2.2509538559568,2.18151963483409,2.08372644763987,2.14327268325796,2.31813487802371,2.22899215893323,2.17995708342302
