"","b1.LT.ctrl","b1.LI.ctrl","b1.TI.ctrl","b1.LT.ko","b1.LI.ko","b1.TI.ko","b2.LT.ctrl","b2.LI.ctrl","b2.TI.ctrl","b2.LT.ko","b2.LI.ko","b2.TI.ko"
"Cgn",0.907847854931939,0.380580652674169,-0.527267202257769,-0.185435921480384,0.0344584716126778,0.219894393093062,0.314215447197243,0.759527001539959,0.445311554342716,0.388572298157118,0.520989894319138,0.13241759616202
"Pdgfb",1.33319707500296,1.71331458228462,0.380117507281659,-0.0395329354584487,-0.000817864802220188,0.0387150706562288,1.56413304061168,2.74734818166676,1.18321514105508,0.103997036229893,0.521348686618041,0.417351650388149
"ENSMUSG00000073234",0.292280779468646,0.438029863405125,0.145749083936479,-0.499589385148218,-0.0586004869326599,0.440988898215558,-0.0472009939175903,0.802030905196467,0.849231899114057,0.0604791532526244,0.588560867413129,0.528081714160505
"Csf1",0.732294845675763,0.811671659030965,0.0793768133552024,0.0173193991168851,0.0146100673820674,-0.0027093317348174,0.261542356974017,0.727130966509613,0.465588609535596,0.366337186372476,0.613995536050877,0.2476583496784
"Plekhh1",0.454338283529565,0.605346340648528,0.151008057118963,-0.159727042877573,0.101947915193583,0.261674958071156,0.00115876568301388,0.664119907943474,0.662961142260461,0.329705408936769,0.604996254192565,0.275290845255796
"Rrad",0.534235557288665,0.862992223229034,0.328756665940369,-0.184625424587974,0.0766919365411936,0.261317361129168,0.453138610527691,0.912059191302152,0.458920580774461,0.127434422700451,0.427830105541362,0.300395682840912
"Dot1l",0.0197780405933811,0.151626362055976,0.131848321462595,-0.0585344662965456,-0.0430747927052615,0.0154596735912842,-0.137098612811167,0.0811065912117602,0.218205204022928,0.033626879436967,0.230107812447127,0.19648093301016
"Ccdc88c",0.158600333272833,0.4149819258391,0.256381592566268,-0.0652399715809665,-0.0332433492282207,0.0319966223527457,0.404390749390262,0.617222544846962,0.2128317954567,-0.0858867527827845,0.0300689592698537,0.115955712052638
"Errfi1",0.106458823174465,0.321219274074603,0.214760450900138,-0.0850956013351482,-0.0628767921376581,0.0222188091974901,0.0717778022670096,0.36084933285509,0.28907153058808,0.111373588929779,0.352226905371282,0.240853316441504
"Sik1",0.488661590782051,0.673516797900084,0.184855207118033,-0.165977076656077,-0.0710174872755461,0.094959589380531,0.0326072781199739,0.240023222466895,0.207415944346921,0.00332522570482729,0.211205098464658,0.207879872759831
"Kcnk10",0.591724055407606,0.239268588643785,-0.352455466763821,0.171677574920697,0.0815610444175333,-0.0901165305031641,0.5487872234039,0.647981459974867,0.099194236570967,0.414558608622428,-0.0577525088709465,-0.472311117493375
"Ccl1",1.73549422280931,2.12091337845894,0.385419155649627,-0.329367518986516,0.589123402036546,0.918490921023062,0.789512217864621,3.00855247142429,2.21904025355966,0.328062670275485,0.877199528228875,0.549136857953391
"Zbtb46",0.187232998000014,0.38797620885841,0.200743210858396,-0.493552224900032,-0.0740890069145153,0.419463217985516,0.404039239838016,0.564881956845832,0.160842717007816,-0.140308590227998,0.771363527082062,0.91167211731006
"Ccl2",1.47366693398341,1.80652822191625,0.332861287932845,0.218505754388107,0.0770934985262275,-0.14141225586188,1.29388323228432,2.16678099033538,0.872897758051063,0.839428809312882,0.961524020053873,0.122095210740991
"Micall2",0.587276608671861,0.588224723953779,0.000948115281917688,0.135314174801625,-0.104454579949761,-0.239768754751385,0.509240264064479,0.616917853179323,0.107677589114845,0.208048358717405,0.198103185960441,-0.00994517275696369
"Slco5a1",-0.199262354706208,0.027046316199856,0.226308670906064,-0.390392834572122,-0.135452269727934,0.254940564844188,-0.388340150973555,0.239654588372434,0.627994739345988,0.0753802353129702,0.368139436256353,0.292759200943383
"Wnt11",0.48664597510276,0.507176795272452,0.0205308201696916,-0.311523233227452,-0.0528023355546061,0.258720897672846,0.408720660464873,0.745978361665841,0.337257701200969,-0.181779422396854,0.0282909027041321,0.210070325100986
"Tjp2",0.352682851222032,0.560111952491851,0.207429101269819,-0.190166073210992,0.0978979570572992,0.288064030268292,0.126128714548179,0.435881791858993,0.309753077310814,0.0229536416795923,0.506437136110291,0.483483494430698
"Ccl7",1.19778604986753,1.38628751643504,0.188501466567507,0.306476602551727,0.178229090797089,-0.128247511754638,0.923694021058982,1.43679054420998,0.513096523150999,1.0585523949485,1.05358282071639,-0.00496957423210937
"Birc3",0.792193375638045,1.05325452414048,0.261061148502432,-0.153421221142203,-0.00159306667642886,0.151828154465774,0.33010849738008,0.855193019787694,0.525084522407614,0.62364705540059,1.06691473691337,0.443267681512781
"Angptl4",0.587383883533718,0.679816101348703,0.0924322178149852,0.199471999022884,0.0392130462118612,-0.160258952811023,0.639534112273464,1.02569271185787,0.38615859958441,0.850592610371765,0.288630981220012,-0.561961629151753
"Bahcc1",0.148238058441634,0.278221225363256,0.129983166921622,0.0171520412012009,-0.065959371169798,-0.083111412370999,0.144030302745182,0.319148595015741,0.175118292270559,0.0893629365887352,0.245350479840974,0.155987543252239
"Bdkrb2",1.13330949626107,0.982274451436382,-0.151035044824687,0.0259018924409215,0.0774674834546795,0.051565591013758,1.03984646207482,1.23659404878431,0.196747586709492,0.360285054245039,0.862202401622891,0.501917347377852
"Icam1",1.34980822599994,1.79923154401472,0.449423318014774,0.10107013627651,0.561338415505084,0.460268279228574,0.495526264212538,1.63916203261665,1.14363576840412,0.703239905636824,1.33498149494879,0.631741589311966
"Nfkb1",0.507011337402315,0.571665692856267,0.0646543554539518,0.160067274233232,-0.0350697206966486,-0.195136994929881,0.41276999273534,0.742624365613362,0.329854372878022,0.474664174407175,0.55054799475941,0.0758838203522346
"Nfkb2",0.750529032101986,1.04016898096183,0.289639948859848,-0.020406775257501,0.0548942057464049,0.0753009810039061,0.469310802983012,0.830820913872265,0.361510110889252,0.434759877961165,0.711895009318409,0.277135131357244
"Nfkbie",1.01914344965897,1.65148614593398,0.632342696275009,-0.164365115475054,0.23345047912684,0.397815594601894,0.540289267087489,1.55868067655303,1.01839140946554,0.334848743019615,1.07437107562739,0.73952233260777
"Rab11fip1",1.3280388513775,1.44053118697297,0.112492335595473,0.290782078010317,0.341502338765732,0.0507202607554144,0.628120076917462,0.806759396186803,0.178639319269342,1.497300771396,1.82674835669283,0.329447585296825
"Relb",0.604007020644281,0.930911572882235,0.326904552237953,-0.0336939322657835,0.0785769846916612,0.112270916957445,0.321388806849988,0.820512886338395,0.499124079488407,0.22081441242744,0.477685166062432,0.256870753634992
"Rhof",0.656613305285317,0.846517814414358,0.189904509129041,0.0170211613688241,0.397434264678149,0.380413103309325,0.413308994026983,0.69210521029339,0.278796216266407,0.869222426881887,1.31021656342933,0.44099413654744
"Ripk2",1.18324604972499,1.25850993760329,0.0752638878782963,0.247024266117636,0.156974247328243,-0.0900500187893937,0.540363272068127,1.29019586093714,0.749832588869017,0.441431930784737,0.64294386008111,0.201511929296373
"Trim47",0.544201295721911,0.77067058547696,0.226469289755048,0.0061281896720682,0.054350504925726,0.0482223152536579,0.292410358660514,0.720147451023984,0.42773709236347,0.259877687747571,0.473490908230625,0.213613220483055
"Vcam1",0.476857840405999,0.648218531901664,0.171360691495664,-0.168634376993587,0.16130986896251,0.329944245956097,0.595694313770545,1.37125833402207,0.775564020251523,0.0165689185096979,0.621785799633895,0.605216881124197
"Glrx",0.63645822080119,0.733376180450426,0.0969179596492358,0.190083558510106,0.0896261792776076,-0.100457379232498,0.792811954818851,1.00583823995126,0.213026285132406,0.443857521947787,0.415372707321441,-0.0284848146263466
"Slco2a1",0.572591041641677,0.871454985451093,0.298863943809417,-0.00903931132840468,0.137761914865546,0.146801226193951,0.299743488064803,0.37635929860413,0.0766158105393273,0.263299345937729,0.394403340489204,0.131103994551474
"Ngef",-0.217703934211896,0.110460543853967,0.328164478065863,0.0864105367033843,-0.116921943918427,-0.203332480621812,0.222839159724717,0.281882312261152,0.059043152536435,-0.0976682865482506,-0.074078549633563,0.0235897369146875
"Rffl",0.524975190646943,0.690123892811517,0.165148702164574,0.399809286094641,0.275184632126769,-0.124624653967871,0.483243725486802,0.839176265621895,0.355932540135093,0.735436989092188,0.799604709828722,0.0641677207365336
"Gbp2",1.18704120825218,1.63728193618289,0.4502407279307,-0.203655509008286,0.369505146462551,0.573160655470836,0.543667510271557,2.00951907746569,1.46585156719413,0.480219852930362,1.19084209008403,0.710622237153665
"Il34",0.758166834984002,1.16866599846814,0.410499163484133,0.154944676484946,0.327005530492323,0.172060854007377,0.555673838243607,0.743982873817647,0.188309035574039,0.258613997209519,0.434601347787722,0.175987350578203
"Gjb2",0.111762735977604,0.413349239972192,0.301586503994587,-0.149114738337549,0.378620897243839,0.527735635581388,-0.436215384989382,-0.398695989469786,0.0375193955195957,-0.073769746710895,0.37020502619016,0.443974772901055
"Slc7a2",0.807336973809522,0.895961635793638,0.0886246619841159,0.189465695213774,0.395002886665863,0.205537191452088,0.793128691304564,1.28422741120144,0.491098719896876,0.850763645790555,0.972026656133839,0.121263010343284
"Sod2",1.2334615378521,1.44848357582618,0.215022037974073,0.308248237369448,0.395820793176806,0.0875725558073581,0.856799958178417,1.01513207155046,0.15833211337204,1.18745699049986,1.41653890334153,0.229081912841668
