"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"Ier3",0.0987708558378516,0.238983747310017,1,0.41642673958273,0.152431746099655,0.315208836561425,0.0987708558378516,0.744722019806873,0.48152562391822,0.196649005183701,0.177018687479649,0.0358026216709239,0.225462846404033,0.321529568606483,1,0.869574640836693,0.778227594915021,0.744500088941317,0.225462846404033,0.734658978288451,0.56776276427786,0.368790569476415,0.367424214187111,0.281050082656688
"Junb",0.11162618606264,0.272048263610531,1,0.231369402629568,0.159211769454302,0.187774556737506,0.11162618606264,0.387313352415619,0.452724532766469,0.121428554792581,0.139761506230679,0.0167791391527137,0.471846773205409,0.538247001119505,1,0.67424042051317,0.947773914851559,0.671128311430906,0.471846773205409,0.735897654295168,0.925397516303957,0.549384288427331,0.609346803282728,0.484297036249048
"Dusp8",0.132085898594974,0.359514858165812,1,0.261069443920791,0.181279470341997,0.179760659185655,0.132085898594974,0.969566304382088,0.456161078695962,0.105861404125551,0.235104002126973,0.0196325972767659,0.186355993354902,0.275632359455711,0.589973823484911,0.127382795122398,0.398056868510199,0.146149608165059,0.186355993354902,1,0.346386079340728,0.0651916874467018,0.295951606394663,0.201671464987912
"Cxcl1",0.0535823908479464,0.126837701300684,1,0.586778021026085,0.248884761580874,0.204652088303571,0.0535823908479464,0.975081277098376,0.689156923995656,0.0842659666859632,0.0494675280254454,0.0128988141834131,0.0457801516598653,0.132662025388468,0.897910402507497,1,0.750348254627263,0.390829017989418,0.0457801516598653,0.756547662805261,0.804387325383697,0.365144159143799,0.120861329491029,0.069424578488684
"Nfkbiz",0.149847536899883,0.906036850301815,0.889310918814561,0.606242514906901,0.362417061811328,0.211895008770093,0.149847536899883,1,0.430520937319949,0.268376696183115,0.175909140456255,0.0344626514259821,0.15534333643982,0.703924537411668,0.760451265716341,0.591127579569061,0.456087166291055,0.354607162548318,0.15534333643982,1,0.479673926444602,0.41803965086732,0.219830136192096,0.281545711366451
"Cxcl2",0.00928137564819171,0.410951619430593,1,0.355273827538337,0.26814288033578,0.0429103941433455,0.00928137564819171,0.643389178974334,0.452254137072416,0.0408711413516018,0.0257221022183465,0.00154377752968928,0.0141298236461288,0.888759203291172,1,0.922326987727801,0.940511420648207,0.503793161062204,0.0141298236461288,0.739691228089239,0.837095512877459,0.447145288705862,0.0580132384139147,0.00538522354234815
"Pcdh10",0.0884728204618757,0.112420125755352,0.396885372669072,0.115119023583008,0.110866279349104,0.0799756899350307,0.0884728204618757,0.637536013442433,1,0.137962866603766,0.164740498482124,0.0251361266549629,0.119390888187535,0.0900724668229022,0.789065429648665,0.146156157001862,0.0808204462766117,0.0518861659212908,0.119390888187535,0.386950005165402,1,0.145955350471342,0.115600041432147,0.0639507024437415
"Ifrd1",0.104355062410311,0.452542451968715,0.742305440663434,0.134121970688327,0.0901532219612999,0.0713820425688435,0.104355062410311,1,0.511837435199292,0.0884313283505766,0.0813080813869561,0.0118478751466895,0.0954045110601111,0.344369236861179,0.580622842679239,0.109887122305515,0.144624108318586,0.104906647765447,0.0954045110601111,1,0.312278840652877,0.112365409245833,0.1029113372343,0.0514550076347789
"Zbtb10",0.284975583782046,0.492201695963776,0.83538905788045,0.587690038546768,0.331823995499895,0.311488529492822,0.284975583782046,0.930377380309468,1,0.378195655488617,0.269812578635233,0.0549542274518403,0.220966740903359,0.28082935049807,1,0.348101199769998,0.264552120729156,0.191683886390852,0.220966740903359,0.766326639454512,0.880978971090815,0.311160802976585,0.247791719464504,0.139486301133546
"Mir17hg",0.504438075368781,0.397054252948777,0.621512724752355,1,0.503310260491811,0.767846203932751,0.504438075368781,0.250416916939657,0.490901136466771,0.830355733809316,0.555141395521167,0.111534439346147,0.572836980754725,0.323562326247299,0.554527873321938,0.848265118395634,0.615814749369658,1,0.572836980754725,0.262712822126313,0.871240313059616,0.89785803547271,0.782340002944187,0.364364446993759
