"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"154",8,0.14600756350019,"tnf","wt","Gadd45b","Sim.","1",FALSE
"155",0,0.209896691899533,"lps","mt","Gadd45b","Sim.","1",FALSE
"156",0.5,0.209910629888927,"lps","mt","Gadd45b","Sim.","1",FALSE
"157",1,0.228321367175913,"lps","mt","Gadd45b","Sim.","1",FALSE
"158",2,1,"lps","mt","Gadd45b","Sim.","1",FALSE
"159",3,0.752959246227179,"lps","mt","Gadd45b","Sim.","1",FALSE
"160",5,0.53131002801839,"lps","mt","Gadd45b","Sim.","1",FALSE
"161",8,0.263952575542137,"lps","mt","Gadd45b","Sim.","1",FALSE
"162",0,0.209896691899533,"tnf","mt","Gadd45b","Sim.","1",FALSE
"163",0.5,0.212398422368647,"tnf","mt","Gadd45b","Sim.","1",FALSE
"164",1,0.57547927846571,"tnf","mt","Gadd45b","Sim.","1",FALSE
"165",2,0.58090020064981,"tnf","mt","Gadd45b","Sim.","1",FALSE
"166",3,0.38564749096883,"tnf","mt","Gadd45b","Sim.","1",FALSE
"167",5,0.22489009475965,"tnf","mt","Gadd45b","Sim.","1",FALSE
"168",8,0.210209247653184,"tnf","mt","Gadd45b","Sim.","1",FALSE
"169",0,0.0755760559833598,"lps","wt","Pim1","Sim.","1",FALSE
"170",0.5,0.0890702290517535,"lps","wt","Pim1","Sim.","1",FALSE
"171",1,0.256491178267812,"lps","wt","Pim1","Sim.","1",FALSE
"172",2,0.886519912332331,"lps","wt","Pim1","Sim.","1",FALSE
"173",3,1,"lps","wt","Pim1","Sim.","1",FALSE
"174",5,0.626198832242998,"lps","wt","Pim1","Sim.","1",FALSE
"175",8,0.237615493935159,"lps","wt","Pim1","Sim.","1",FALSE
"176",0,0.0755760559833598,"tnf","wt","Pim1","Sim.","1",FALSE
"177",0.5,0.230188326042116,"tnf","wt","Pim1","Sim.","1",FALSE
"178",1,0.506830217954455,"tnf","wt","Pim1","Sim.","1",FALSE
"179",2,0.281381599428228,"tnf","wt","Pim1","Sim.","1",FALSE
"180",3,0.161130883409624,"tnf","wt","Pim1","Sim.","1",FALSE
"181",5,0.0903609732865068,"tnf","wt","Pim1","Sim.","1",FALSE
"182",8,0.0766397478159038,"tnf","wt","Pim1","Sim.","1",FALSE
"183",0,0.125545190014464,"lps","mt","Pim1","Sim.","1",FALSE
"184",0.5,0.128135558289426,"lps","mt","Pim1","Sim.","1",FALSE
"185",1,0.392996877254937,"lps","mt","Pim1","Sim.","1",FALSE
"186",2,1,"lps","mt","Pim1","Sim.","1",FALSE
"187",3,0.825942492157479,"lps","mt","Pim1","Sim.","1",FALSE
"188",5,0.573089124198167,"lps","mt","Pim1","Sim.","1",FALSE
"189",8,0.219483167743306,"lps","mt","Pim1","Sim.","1",FALSE
"190",0,0.125545190014464,"tnf","mt","Pim1","Sim.","1",FALSE
"191",0.5,0.294359066089169,"tnf","mt","Pim1","Sim.","1",FALSE
"192",1,0.670413022725373,"tnf","mt","Pim1","Sim.","1",FALSE
"193",2,0.544849589059182,"tnf","mt","Pim1","Sim.","1",FALSE
"194",3,0.358536665882503,"tnf","mt","Pim1","Sim.","1",FALSE
"195",5,0.167212936636287,"tnf","mt","Pim1","Sim.","1",FALSE
"196",8,0.128572389157031,"tnf","mt","Pim1","Sim.","1",FALSE
"197",0,0.064904074683948,"lps","wt","Mir155hg","Sim.","1",FALSE
"198",0.5,0.190780568450086,"lps","wt","Mir155hg","Sim.","1",FALSE
"199",1,0.339278748998502,"lps","wt","Mir155hg","Sim.","1",FALSE
"200",2,0.563945418669894,"lps","wt","Mir155hg","Sim.","1",FALSE
"201",3,0.717808052759558,"lps","wt","Mir155hg","Sim.","1",FALSE
"202",5,0.895247049338316,"lps","wt","Mir155hg","Sim.","1",FALSE
"203",8,1,"lps","wt","Mir155hg","Sim.","1",FALSE
