gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Gdf15,ENSMUSG00000038508,0,-1.11969976162351,-1.08379403196601,-3,-2.56587600310886,0,0,0,-1.70642679846446,-1.22517127448341,-1.87736377716027
Nfkb1,ENSMUSG00000028163,0,-0.949280699142394,-0.775384706774432,-2.25314106124928,-3.78166701857914,0,-0.253606776670575,-0.50031232615947,-0.911775134039978,-1.9097552600462,-2.78405222982991
St3gal1,ENSMUSG00000013846,0,-0.998235554301802,-0.939674905977357,-2.23643885931457,-3.55901445476385,0,-0.433386791079451,-0.540520681497524,-0.929856215163646,-1.8128820457994,-2.3049596039057
Gch1,ENSMUSG00000037580,0,-1.06058938219707,-0.625759989210017,-2.65423713745698,-3.3560953718452,0,0,-0.973788323685425,0,-0.333619994499919,-1.0334802589019
Ccdc88c,ENSMUSG00000021182,0,-1.61655281913603,-1.08379403196601,-1.97210127975457,-3,0,-0.392023107268653,-0.390423708277486,-1.00431731144276,-1.78695008120728,-2.12754276741102
Il1r1,ENSMUSG00000026072,0,-0.846070909854216,-0.80544274072377,-2.16003863725804,-3.79474654521464,0,-0.521476924765173,-0.65456623520793,-1.17908109531776,-2.16032257870739,-2.55254805045907
Serpina3g,ENSMUSG00000041481,0,-0.921790504171747,-0.81187180843836,-2.01264284272458,-3.7255458946348,0,-0.580788496151197,-0.048598141465698,-1.130305803246,-2.11169064864641,-2.80187257955546
Fosb,ENSMUSG00000003545,0,-1.45136064182649,-1.37607288744927,-1.91012724228336,-2.65311583343209,0,-0.641941774287869,-1.39346027395827,-1.28564115759484,-1.03969933877553,-2.41317891680768
Kcnn3,ENSMUSG00000000794,0,-0.674212678510547,-1.09909998803405,-2.24041580527127,-3.32007889144484,0,-1.44635654126683,-0.511912405865076,-1.43568801222119,-1.01286803122003,-1.17344613993799
Kcnq5,ENSMUSG00000028033,0,-0.860415625864095,-0.916601273426144,-2.2526583231472,-3.21021591172135,0,-0.637429806870753,-0.214110458040906,-0.978634533873743,-2.22062642180705,-2.34286414947643
Csf1,ENSMUSG00000014599,0,-0.987201088539713,-1.01694645085965,-2.16793384381695,-3.05379110358487,0,-0.351608552048262,-0.434444341716064,-0.990489652530833,-1.81109823966778,-2.1363696878402
Tnfaip2,ENSMUSG00000021281,0,-0.920706293428029,-1.0123857183053,-2.11537048093644,-3.16176419063668,0,-0.310466050280786,-0.412964120211576,-0.922514210275976,-1.53279111854402,-2.37210261081219
Fpr1,ENSMUSG00000045551,0,-1.96549940288374,-0.66875653268717,-1.98134103778922,-2.58496250072116,0,-1.05672877378194,-0.10054883057829,-1.70642679846446,-1.76268683251854,-2.62904652979558
Pilra,ENSMUSG00000046245,0,-1.65771125881269,-0.79764664891604,-1.86524225491823,-2.86896681653362,0,-0.571597975741047,-0.800631530277145,-1.39163980077173,-0.753291944772762,-1.64001855880777
Rhof,ENSMUSG00000029449,0,-0.675153113044604,-0.555920110070733,-2.11063931827477,-3.59232758342342,0,-0.533189469252876,-1.23462890790346,-1.62654218871619,-3.15409074076457,-4.97246822223716
Ptges,ENSMUSG00000050737,0,-1.15935809406077,-1.04797334330848,-1.88308807565053,-2.64903118420473,0,-0.443934380160989,-0.228985153615827,-0.710527305957342,-0.971010303096324,-1.40754214956401
Adarb1,ENSMUSG00000020262,0,-1.10424365246775,-0.706985729199404,-1.53133839934549,-3.39268570384353,0,-0.172003531329813,-0.234090847899261,-0.592445346316314,-1.46918417155549,-1.62386636311245
Oasl1,ENSMUSG00000041827,0,-0.616552819136033,-2,-2,-2,0,0,0,0,0,0
Rnd1,ENSMUSG00000054855,0,-0.739845835595379,-0.488583289203485,-2.64465760184215,-2.73434658829584,0,-0.444804628205364,-0.579748506874187,-1.95729100682102,-2.71729725822697,-2.12524829837756
Tnfrsf11b,ENSMUSG00000063727,0,-1.23639912955374,-1.20200349228839,-1.59062224029218,-2.55912830120566,0,-0.469092581525862,-0.335068586246047,-0.566831006908448,-0.899085843609715,-1.307109136846
Exoc3l4,ENSMUSG00000021280,0,-0.276603736554329,-0.436300051109916,-2.41778327794701,-3.4215078395624,0,-0.458902671958046,-0.0135841994129038,-0.521343615748271,-1.15087085174717,-1.4573804210454
Ifih1,ENSMUSG00000026896,0,-0.80423702387756,-0.823418196226298,-1.3878887918606,-3.45075333970895,0,-0.0261742283501727,-0.248973083243015,-1.01116087919434,-1.48683362620964,-2.84115146124784
Plekhh1,ENSMUSG00000060716,0,-1.05604753372069,-1.29984610249861,-1.83738943939533,-2.19377820693314,0,-0.653887840838263,-1.33145607930043,-1.22363696293701,-1.67739337753772,-2.04510328683243
Nfkb2,ENSMUSG00000025225,0,-0.729846224812162,-0.601492363919641,-1.77805198210921,-3.12519252718802,0,-0.200482967385238,-0.136738898065754,-0.603401924012356,-1.31688571255796,-1.94818021002315
Rasgef1a,ENSMUSG00000030134,0,-1.35347058360074,-0.923628369776861,-1.74312028913678,-2.191409244721,0,-0.76513426362597,-0.635430525624423,-1.83075006904599,-1.01447039289326,-0.843404427951077
Hivep1,ENSMUSG00000021366,0,-0.832149633655664,-0.5963693465895,-1.5960387338085,-3.10637371941195,0,-0.64353562816301,-0.723388502514842,-1.06103222371548,-1.87348531996479,-2.69084052335394
Mnda,ENSMUSG00000026536,0,-0.798504832796836,-0.596599647504866,-1.54331416003087,-3.15083850383002,0,-0.469680581821371,-0.114206864437221,-1.0798835491825,-1.33634694080878,-1.42068281565034
Cgn,ENSMUSG00000068876,0,-0.68581737632824,-0.492897153804513,-1.95683198134789,-2.90427158973816,0,-0.564959394635232,-0.106491828157408,-0.104745725316731,-0.779283899766712,-1.23298166059205
Nfkbie,ENSMUSG00000023947,0,-0.539024080551278,-0.196875318281988,-1.71098263196828,-3.52580733281267,0,-0.289561854697394,-0.228012453823107,-1.2694448574687,-2.28794555642913,-3.56892125431694
Nr4a3,ENSMUSG00000028341,0,-1.18157841580455,-0.596599647504866,-1.54331416003087,-2.54703872164626,0,-0.450078745948949,-1.45550303686183,-1.36450417121883,-1.75695831710156,-3.07059572847879
Egr4,ENSMUSG00000071341,0,-0.965499402883742,-1.58496250072116,-1.58496250072116,-1.58496250072116,0,0,0,0,0,0
